JobID,dbo_tblCustomer_CustomerID,dbo_tblCustomer_Alpha,dbo_tblCustomer_Name,dbo_tblCustomer_1_CustomerID,dbo_tblCustomer_1_Alpha,dbo_tblCustomer_1_Name,PostCode,dbo_tblJobType_Name,Status,SessionID,VisitDate,StatusLabel,PortalStage,Employee,Due,PartsValue,MiscValue,LabourValue,JobValue
53669,2437,5009440,ACT Clean / Head Office,14978,500944072,ACT Clean / Park Tower,SW1X 7RN,Callback,230,1,27/09/2025,Waiting Acceptance,Pending Engineer Visit,Peter Hunte,25/04/2025,110.05,0,80,190.05
56134,2110,5008896,Axminster Services Ltd +,16929,500889636,Axminster Services / The Chancery Rosewood,W1K 6LE,Callback,230,1,15/11/2025,Waiting Acceptance,Pending Engineer Visit,Steve Batt,08/10/2025,99.25,0,0,99.25
56297,2110,5008896,Axminster Services Ltd +,7929,500889628,Axminster Services/ Four Seasons,EC3N 4AJ,Callback,230,1,10/01/2026,Waiting Acceptance,Pending Engineer Visit,Steve Batt,21/10/2025,177.63,0,0,177.63
56365,2110,5008896,Axminster Services Ltd +,16929,500889636,Axminster Services / The Chancery Rosewood,W1K 6LE,Callback,230,1,23/11/2025,Waiting Acceptance,Pending Engineer Visit,Adrian Chioveanu,28/10/2025,306.43,0,60,366.43
56479,2110,5008896,Axminster Services Ltd +,2110,5008896,Axminster Services Ltd +,NW2 7HD,Workshop Repair,220,1,29/10/2025,220,,Luke Langlands,,292.94,0,164.5,457.44
56479,2110,5008896,Axminster Services Ltd +,2110,5008896,Axminster Services Ltd +,NW2 7HD,Workshop Repair,220,2,15/12/2025,220,,Steve Batt,,292.94,0,164.5,457.44
56485,2437,5009440,ACT Clean / Head Office,15241,500944076,ACT Clean /One Aldwych,WC2B 4BZ,Callback,230,1,15/11/2025,Waiting Acceptance,Pending Engineer Visit,Steve Batt,31/10/2025,462.78,0,160,622.78
56488,2110,5008896,Axminster Services Ltd +,2110,5008896,Axminster Services Ltd +,NW2 7HD,Workshop Repair,400,1,30/10/2025,Awaiting Parts,Awaiting Parts for Repair,Luke Langlands,,43.49,0,70.5,113.99
56497,2110,5008896,Axminster Services Ltd +,2110,5008896,Axminster Services Ltd +,NW2 7HD,Workshop Repair,400,1,31/10/2025,Awaiting Parts,Awaiting Parts for Repair,Luke Langlands,03/11/2025,580.31,0,94,674.31
56596,2110,5008896,Axminster Services Ltd +,2110,5008896,Axminster Services Ltd +,NW2 7HD,Workshop Repair,400,1,07/11/2025,Awaiting Parts,Awaiting Parts for Repair,Luke Langlands,,1074.91,0,329,1403.91
56597,2110,5008896,Axminster Services Ltd +,2110,5008896,Axminster Services Ltd +,NW2 7HD,Workshop Repair,200,1,07/11/2025,Unallocated,Processing,Luke Langlands,,1010.2,0,399.5,1409.7
56598,2110,5008896,Axminster Services Ltd +,2110,5008896,Axminster Services Ltd +,NW2 7HD,Workshop Repair,500,1,07/11/2025,Site Attended,Attended,Steve Batt,,249.33,0,188,437.33
56598,2110,5008896,Axminster Services Ltd +,2110,5008896,Axminster Services Ltd +,NW2 7HD,Workshop Repair,500,2,12/12/2025,Site Attended,Attended,Luke Langlands,,249.33,0,188,437.33
56599,2110,5008896,Axminster Services Ltd +,2110,5008896,Axminster Services Ltd +,NW2 7HD,Workshop Repair,500,1,07/11/2025,Site Attended,Attended,Luke Langlands,,0,1,23.5,24.5
56615,2110,5008896,Axminster Services Ltd +,2110,5008896,Axminster Services Ltd +,NW2 7HD,Workshop Repair,500,2,06/01/2026,Site Attended,Attended,Luke Langlands,,318.12,0,164.5,482.62
56615,2110,5008896,Axminster Services Ltd +,2110,5008896,Axminster Services Ltd +,NW2 7HD,Workshop Repair,500,1,10/11/2025,Site Attended,Attended,Luke Langlands,,318.12,0,164.5,482.62
