JobID,Account Code,Account Name,Site Code,Site Name,PostCode,Job Type,Status,Visit Date,Portal Status,Allocated Engineer,Parts Due,Total Job Value,Equipment
57449,BROO003,Brooklands Hotel,BROO003,Brooklands Hotel,KT13 0SL,Workshop Repair,250,15/01/2026,Pending Engineer Visit,Steve Batt,,0,i-team i-mop XL Pro
57446,CHAN002,30GS GP LLP for and behalf of 30 GS LP,CHAN00202,The Chancery Rosewood Hotel,W1K 6LE,Arranged Visit,230,27/01/2026,Pending Engineer Visit,Steve Batt,17/01/2026,0,Monthly Service Various machines to be serviced
57445,DEPOT1,LVC,DEPOT111,LVC Hire,,Workshop Hire - Collect/Inspect/Repair,575,15/01/2026,Attended - In Processing,Luke Langlands,,0,Nilfisk  sc530
57442,5009440,ACT Clean / Head Office,500944038,ACT Clean / Langham Hotel,W1B 1JA,Workshop Repair,575,15/01/2026,Attended - In Processing,Luke Langlands,,100.69,NUMATIC VNR200-11; NUMATIC VNR200-11
57441,KARC001,Karcher UK Ltd,KARC00101,"Unit 3, Elia International",HP12 4FX,Breakdown B Rate,250,15/01/2026,Pending Engineer Visit,Peter Hunte,,94,
57440,MEDW001,Medway NHS Foundation Trust,MEDW00101,Medway Maritime Hospital / Main Stores,ME7 5NY,Breakdown B Rate,230,30/01/2026,Pending Engineer Visit,Ciaran McRae,15/01/2026,0,
57439,AZTE001,Aztech Refurbishments Limited,AZTE001,Aztech Refurbishments Limited,MK43 0LN,Workshop Repair,220,14/01/2026,Awaiting Parts for Repair,Luke Langlands,,107.45,REINTEC Buffer; REINTEC Buffer
57431,5001091,Bupa Cromwell Hospital - Vendor No.0000041297,500109102,Bupa Cromwell Hospital / Housekeeping,SW5 0TU,Callback,230,05/02/2026,Pending Engineer Visit,Ray Oram,14/01/2026,0,i-team i-mop XL Pro
57421,WHIT004,St James Group Ltd,WHIT00401,White City Living/ Belvedere Row Appt / Conceirge Dept,W12 7RQ,Arranged Visit,230,25/02/2026,Pending Engineer Visit,Shane Wingfield,23/02/2026,0,Monthly Service Maintenance Agreement - Gold
57420,WHIT004,St James Group Ltd,WHIT00401,White City Living/ Belvedere Row Appt / Conceirge Dept,W12 7RQ,Arranged Visit,230,18/02/2026,Pending Engineer Visit,Shane Wingfield,16/02/2026,0,Monthly Service Maintenance Agreement - Gold
57415,5008967,Pall Mall & Woodcote Park Clubhouses Ltd,500896702,Royal Automobile Club / Woodcote Park,KT18 7EW,Breakdown B Rate,550,15/01/2026,Attended - Further Work Needed,Adrian Chioveanu,13/01/2026,217.54,Bissell BG10
57413,5008032,Principle Cleaning Services Ltd,500803205,Principle Cleaning Ltd/ Lloyds of London,EC3M 7HA,Callback,230,17/01/2026,Pending Engineer Visit,Peter Hunte,13/01/2026,110.85,
57411,5010976,Avalon Cleaning Systems,501097603,Avalon Cleaning Systems / St Albans Cathedral,AL1 1BY,Potential Warranty B Rate customer,575,14/01/2026,Attended - In Processing,Chris Thomas,13/01/2026,164.5,VIPER AS4325B
57409,5009440,ACT Clean / Head Office,500944060,ACT Clean / The London Edition,W1T 3NP,Breakdown B Rate,250,14/01/2026,Pending Engineer Visit,Adrian Chioveanu,,80,
57392,ROSE001,Rosewood London,ROSE00103,Rosewood London,WC1V 7EN,Workshop Repair,500,09/01/2026,Attended,Chris Thomas,12/01/2026,318.21,Sebo XP10 30cm; Sebo XP10 30cm
57392,ROSE001,Rosewood London,ROSE00103,Rosewood London,WC1V 7EN,Workshop Repair,500,15/01/2026,Attended,Luke Langlands,12/01/2026,318.21,Sebo XP10 30cm; Sebo XP10 30cm
57387,TFSG001,Total Facility Solutions Ltd / TFS Group,TFSG00113,TFS Group/ UPS London Hub,SS17 9FD,Breakdown B Rate,600,09/01/2026,Requires Invoicing,Ciaran McRae,12/01/2026,164.5,Fimap MMG PLUS CB; Viper AS530R; Fimap FS60B
57386,PANP001,Pan Pacific London,PANP00102,Pan Pacific London / Spa,EC3A 7AB,Breakdown B Rate,230,16/01/2026,Pending Engineer Visit,Steve Batt,12/01/2026,539.4,
57383,5001043,Greenwich Leisure Limited,500104314,Greenwich Leisure Limited / Hillingdon Sports & Leisure Complex,UB8 1ES,Hire Breakdown,575,08/01/2026,Attended - In Processing,Steve Batt,,89.3,Dolphin Dolphin Wave 100
57383,5001043,Greenwich Leisure Limited,500104314,Greenwich Leisure Limited / Hillingdon Sports & Leisure Complex,UB8 1ES,Hire Breakdown,575,09/01/2026,Attended - In Processing,Steve Batt,,89.3,Dolphin Dolphin Wave 100
57382,5008896,Axminster Services Ltd +,5008896,Axminster Services Ltd +,NW2 7HD,Workshop Repair,575,09/01/2026,Attended - In Processing,Luke Langlands,,448.1,Nilfisk FM400L
57380,BERK002,Tetlow Fifty-Three Limited / Tetlow Fifty-Three Limited C/O,BERK00201,Sandringham house,SE1 2QX,Breakdown B Rate,550,15/01/2026,Attended - Further Work Needed,Peter Hunte,09/01/2026,188,FACTORY CAT 40 -C   xr
57379,5009989,Sofitel Heathrow Arora Group,500998902,Sofitel Heathrow T5-Fao Sigita Baltrusaitene,TW6 2GD,Arranged Visit,230,24/02/2026,Pending Engineer Visit,Shane Wingfield,20/02/2026,0,Monthly Service Various machines to be serviced
57378,BART003,Barts Health NHS Trust / Newham University Hospital,BART00301,Newham University Hospital-Receipt & Distribution,E13 8SL,Arranged Visit,230,18/02/2026,Pending Engineer Visit,Ray Oram,20/02/2026,0,MONTHLY SERVICE VARIOUS MACHINES TO BE SERVICE
57377,BART005,Barts Health NHS Trust / The Royal London Hospital,BART00501,The Royal London Hospital (RLH)-Domestic Services,E1 1FR,Arranged Visit,230,19/02/2026,Pending Engineer Visit,Ray Oram,21/02/2026,0,Monthly Service Visit Two
57376,BART005,Barts Health NHS Trust / The Royal London Hospital,BART00501,The Royal London Hospital (RLH)-Domestic Services,E1 1FR,Arranged Visit,230,12/02/2026,Pending Engineer Visit,Ray Oram,07/02/2026,165.26,Monthly Service Visit One
57375,5011100,The Ritz London,501110004,The Ritz London / Back Of House,W1J 9BR,Arranged Visit,230,04/02/2026,Pending Engineer Visit,Adrian Chioveanu,11/02/2026,0,Monthly Service 3 machines to be serviced
57372,5001091,Bupa Cromwell Hospital - Vendor No.0000041297,500109102,Bupa Cromwell Hospital / Housekeeping,SW5 0TU,Arranged Visit,230,05/02/2026,Pending Engineer Visit,Ray Oram,02/02/2026,398.62,i-team i-mop XL; Monthly Service 6 machines to be serviced
57371,GOLD003,Goldsmith University London - AP(Finance) - Supp. 239369,GOLD003,Goldsmith University London - AP(Finance) - Supp. 239369,SE14 6NW,Arranged Visit,230,18/02/2026,Pending Engineer Visit,Chris Thomas,25/02/2026,0,Field Service Up to 15 Machines Per Visit
